Target URL,Grafana Version,CVE ID,Severity,Description,Message,Test URL,Timestamp
https://www.coindesk.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T01:48:53.350771
https://business.comcast.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T01:52:27.718756
https://www.xfinity.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:33:15.046739
https://consensus2026.sandbox.events.coindesk.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:33:17.432222
https://console.delltechnologies.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.dell.com | Open redirect to external domain: www.dell.com,https://console.delltechnologies.com//api/snapshots,2026-05-19T02:35:07.449805
https://docs.eazybi.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:40:52.021935
https://my.elementor.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:42:02.341103
https://go.elementor.com,2025.9.1,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: elementor.com | Open redirect to external domain: elementor.com | Open redirect via login redirect parameter,https://go.elementor.com//api/snapshots,2026-05-19T02:46:50.570754
https://translate.elementor.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://translate.elementor.com//api/snapshots,2026-05-19T02:48:49.520318
https://translate.elementor.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,Snapshot enumeration confirmed - 1/50 test IDs accessible. Sample accessible IDs: [1],https://translate.elementor.com/api/snapshots/shared/50,2026-05-19T02:48:49.520318
https://developers.elementor.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:49:14.754074
https://library.elementor.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:49:30.342694
https://elementor.careers,2024.11.0,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:51:57.494068
https://activitylog.io,2024.11.0,N/A,N/A,No vulnerabilities found,,,2026-05-19T02:55:12.744676
https://send2.co,2025.9.1,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: elementor.com | Open redirect to external domain: elementor.com | Open redirect via login redirect parameter,https://send2.co//api/snapshots,2026-05-19T02:57:19.456603
https://casino.partycasino.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.partycasino.com | Open redirect to external domain: www.partycasino.com | Open redirect via login redirect parameter,https://casino.partycasino.com//api/snapshots,2026-05-19T02:58:14.550871
https://casino.bwin.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.bwin.com | Open redirect to external domain: www.bwin.com | Open redirect via login redirect parameter,https://casino.bwin.com//api/snapshots,2026-05-19T02:59:47.053133
https://casino.sportingbet.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.sportingbet.com | Open redirect to external domain: www.sportingbet.com | Open redirect via login redirect parameter,https://casino.sportingbet.com//api/snapshots,2026-05-19T03:01:19.313856
https://www.ladbrokes.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:02:54.029997
https://www.coral.co.uk,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:04:43.844494
https://www.partypoker.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:06:43.582998
https://www.galabingo.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://www.galabingo.com//api/snapshots,2026-05-19T03:08:18.212221
https://www.partycasino.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:10:06.384301
https://www.bwin.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:11:51.823755
https://www.galacasino.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://www.galacasino.com//api/snapshots,2026-05-19T03:13:30.535816
https://www.epam.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:15:17.886633
https://projects.epam.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: project.epam.com | Open redirect to external domain: project.epam.com | Open redirect via login redirect parameter,https://projects.epam.com//api/snapshots,2026-05-19T03:15:19.935045
https://lab.epam.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:19:30.613190
https://opensource.epam.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:19:31.733553
https://www.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://www.etoro.com/api/snapshots/50,2026-05-19T03:19:34.686990
https://watchlistapi.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:20:50.239387
https://wallet.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:20:52.295609
https://uapi-front.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:21:05.460386
https://tapi-real.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:21:07.493708
https://tapi-demo.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:21:09.737228
https://sts.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:21:12.057536
https://streams.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://streams.etoro.com//api/snapshots,2026-05-19T03:21:13.070480
https://streams.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://streams.etoro.com/api/snapshots/50,2026-05-19T03:21:13.070480
https://rankings.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:21:56.935955
https://r.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://r.etoro.com//api/snapshots,2026-05-19T03:21:59.097946
https://r.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://r.etoro.com/api/snapshots/50,2026-05-19T03:21:59.097946
https://push-real-hk-lightstreamer.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:23:29.569405
https://push-n-hap.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:23:30.696260
https://push-lightstreamer.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:23:31.791795
https://push-hap.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:25:24.045828
https://push-dn-hap.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:25:25.168597
https://push-demo-lightstreamer.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:25:26.291836
https://push-demo-hk-lightstreamer.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:27:16.369798
https://push-d-hap.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:27:17.505086
https://push-d-gw.cloud.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:27:18.602996
https://partners.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: por.etoro.com | Open redirect to external domain: por.etoro.com | Open redirect via login redirect parameter,https://partners.etoro.com//api/snapshots,2026-05-19T03:27:19.723302
https://kyc.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: etoro.com | Open redirect to external domain: etoro.com,https://kyc.etoro.com//api/snapshots,2026-05-19T03:28:03.263126
https://kyc-src.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://kyc-src.etoro.com//api/snapshots,2026-05-19T03:28:53.379825
https://kyc-src.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://kyc-src.etoro.com/api/snapshots/50,2026-05-19T03:28:53.379825
https://etoropartners.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:29:40.561702
https://etorologsapi.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:32:30.589845
https://delta.app,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:32:33.464227
https://com.etoro.wallet,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:36:38.142480
https://com.etoro.openbook,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:36:39.320904
https://charts.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:36:40.399803
https://cashier.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:37:52.389039
https://cashier-src.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://cashier-src.etoro.com//api/snapshots,2026-05-19T03:37:55.089741
https://cashier-src.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://cashier-src.etoro.com/api/snapshots/50,2026-05-19T03:37:55.089741
https://candle.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:38:41.562581
https://candle-src.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:38:43.961845
https://billing.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://billing.etoro.com//api/snapshots,2026-05-19T03:38:45.111360
https://billing.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://billing.etoro.com/api/snapshots/50,2026-05-19T03:38:45.111360
https://billing-pci.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:39:29.622124
https://api.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:40:37.941927
https://aggregator.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:40:41.198973
https://templates.etoro.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://templates.etoro.com//api/snapshots,2026-05-19T03:40:43.551152
https://templates.etoro.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://templates.etoro.com/api/snapshots/50,2026-05-19T03:40:43.551152
https://etorox.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect to external domain: www.etoro.com | Open redirect to external domain: www.etoro.com | Open redirect via login redirect parameter,https://etorox.com//api/snapshots,2026-05-19T03:41:27.410128
https://etorox.com,,CVE-2021-39226,MEDIUM,Snapshot Enumeration,"Snapshot enumeration confirmed - 50/50 test IDs accessible. Sample accessible IDs: [1, 2, 3, 4, 5]",https://etorox.com/api/snapshots/50,2026-05-19T03:41:27.410128
https://api-portal.etoro.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:42:00.489692
https://www.etsy.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:47:33.715156
https://etsypayments.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:47:35.776993
https://blog.etsy.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:47:37.241099
https://careers.etsy.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:47:40.505916
https://help.etsy.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://help.etsy.com//api/snapshots,2026-05-19T03:48:07.258403
https://community.etsy.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://community.etsy.com//api/snapshots,2026-05-19T03:51:00.060575
https://bugcrowd.charm.felixforus.ca,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:55:29.830186
https://bugcrowd.lucky.felixforus.ca,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:56:52.593512
https://financialforce.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:58:41.691270
https://sb-console-api.fireblocks.io,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:59:04.917137
https://sb-mobile-api.fireblocks.io,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:59:07.680548
https://sandbox-api.fireblocks.io,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:59:10.523394
https://fivetran.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T03:59:13.323101
https://flo.uri.sh,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:00:30.049456
https://flourish.studio,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:01:38.841292
https://xyzbmojn.net,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:03:06.546469
https://flourish-user-templates.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:04:19.895901
https://flourish-user-preview.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:04:22.976752
https://staging.gearset.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:04:26.272753
https://hipaa.staging.gearset.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:05:44.550153
https://staging.claytonapp.com,,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://staging.claytonapp.com//api/snapshots,2026-05-19T04:05:47.497045
https://app.glean.com,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:07:09.685784
https://www.hostgator.com.br,2024.11.0,CVE-2025-4123,CRITICAL,Path Traversal & Open Redirect,Open redirect via login redirect parameter,https://www.hostgator.com.br//api/snapshots,2026-05-19T04:08:30.225928
https://financeiro.hostgator.com.br,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:10:47.751644
https://www.cultbeauty.co.uk,,N/A,N/A,No vulnerabilities found,,,2026-05-19T04:12:14.934219
